Datum,BHKW1_Biogas,BHKW2_Biogas,Methangehalt CH4,TS-Wert,pH-Wert
734150.0827,2500.166366,5161.666435,54.66100664,6.612418384,7.572809824
734150.166,2502.333032,5163.333102,54.43193629,6.474065197,7.555544283
734150.2493,2504.499699,5164.999769,54.20286594,5.276641362,7.492101622
734150.3327,2506.666366,5166.666435,53.9737956,6.669774958,7.457143849
734150.416,2508.833032,5168.333102,53.74472525,6.393111495,7.555447831
734150.4993,2510.999699,5169.999769,53.51565491,5.875192525,7.555447831
734150.5827,2513.166366,5171.666435,53.28658456,7.133189786,7.36463854
734150.666,2515.333032,5173.333102,53.05751422,6.347414651,7.532364132
734150.7493,2517.499699,5174.999769,52.82844387,6.070987992,7.561245548
734150.8327,2519.666366,5176.666435,52.59937353,5.655156987,7.693940299
734150.916,2521.833032,5178.333102,52.37030318,6.577824948,7.555426397
734150.9993,2523.999699,5179.999769,52.14123283,6.993653445,7.563188186
734151.0827,2529.66588,5188.332176,52.17977592,5.702717608,7.428508926
734151.166,2535.332546,5196.665509,52.21835618,7.026620434,7.596032849
734151.2493,2540.999213,5204.998843,52.25693644,7.095828664,7.567119281
734151.3327,2546.66588,5213.332176,52.2955167,6.070537933,7.567087126
734151.416,2552.332546,5221.665509,52.33409695,6.853908666,7.497604623
734151.4993,2557.999213,5229.998843,52.37267721,7.234096076,7.636273926
734151.5827,2563.66588,5238.332176,52.41125747,6.058535249,7.468610678
734151.666,2569.332546,5246.665509,52.44983773,5.196373549,7.538301169
734151.7493,2574.999213,5254.998843,52.48841799,6.612482649,7.474804923
734151.8327,2580.66588,5263.332176,52.52699825,6.541901674,7.56115981
734151.916,2586.332546,5271.665509,52.56557851,5.645061864,7.416634847
734151.9993,2591.999213,5279.998843,52.60415877,7.355822243,7.443320751
734152.0827,2592.249968,5282.499682,52.63791767,7.55217435,7.476588918
734152.166,2592.499971,5284.999711,52.67167591,7.748526457,7.509857086
734152.2493,2592.749974,5287.49974,52.70543414,7.944878565,7.543125253
734152.3327,2592.999977,5289.999769,52.73919238,8.137512427,7.576669589
734152.416,2593.24998,5292.499797,52.77295062,5.944808994,7.526791471
734152.4993,2593.499983,5294.999826,52.80670885,5.79578207,7.480281132
734152.5827,2593.749986,5297.499855,52.84046709,7.062049776,7.538247585
734152.666,2593.999988,5299.999884,52.87422533,6.668767528,7.555458548
734152.7493,2594.249991,5302.499913,52.90798356,5.414801605,7.208793832
734152.8327,2594.499994,5304.999942,52.9417418,6.715213591,7.543970283
734152.916,2594.749997,5307.499971,52.97550003,6.48559633,7.358667397
734152.9993,2595,5310,53.00925827,6.984369425,7.531526164
734153.0827,2588.083413,5296.666821,53.06712783,7.103217001,7.53255208
734153.166,2581.166827,5283.333642,53.12499739,6.820173625,7.284068698
734153.2493,2574.25024,5270.000463,53.18286695,6.405264213,7.567119281
734153.3327,2567.333654,5256.667284,53.24073651,5.74955046,7.47431194
734153.416,2560.417067,5243.334105,53.29860607,7.119255307,7.601722401
734153.4993,2553.50048,5230.000926,53.35647563,6.313485709,7.561309849
734153.5827,2546.583894,5216.667747,53.41434519,6.968256462,7.601625944
734153.666,2539.667307,5203.334568,53.47221474,6.726867948,7.526660188
734153.7493,2532.75072,5190.001389,53.5300843,6.174618145,7.306916622
734153.8327,2525.834134,5176.66821,53.58795386,6.266825383,7.509323302
734153.916,2518.917547,5163.335031,53.64582342,4.86186155,7.4109443
734153.9993,2512.000961,5150.001852,53.70369298,7.035254559,7.493809254
734154.0827,2510.0836,5148.333565,53.70129015,5.944294644,7.301183209
734154.166,2508.166933,5146.666898,53.69887894,5.265046923,7.273127
734154.2493,2506.250266,5145.000231,53.69646773,6.497256067,7.416720583
734154.3327,2504.3336,5143.333565,53.69405653,6.473936633,7.451453302
734154.416,2502.416933,5141.666898,53.69164532,5.66760971,7.040251792
734154.4993,2500.500266,5140.000231,53.68923411,6.566722497,7.307313152
734154.5827,2498.5836,5138.333565,53.68682291,6.151705977,7.538279736
734154.666,2496.666933,5136.666898,53.6844117,5.48381792,7.365290323
734154.7493,2494.750266,5135.000231,53.6820005,4.631772764,7.51518532
734154.8327,2492.8336,5133.333565,53.67958929,6.416816829,7.087190817
734154.916,2490.916933,5131.666898,53.67717808,6.209297277,7.526609283
734154.9993,2489.000266,5130.000231,53.67476688,6.886049326,7.38244612
734155.0827,2489.083323,5130,53.77843777,6.75083583,7.515088868
734155.166,2489.166657,5130,53.88212339,6.335647746,7.463005868
734155.2493,2489.249991,5130,53.98580902,5.794560333,7.434124451
734155.3327,2489.333326,5130,54.08949464,6.831317978,7.468707132
734155.416,2489.41666,5130,54.19318027,6.370734125,7.555587153
734155.4993,2489.499994,5130,54.29686589,5.760331315,7.075639242
734155.5827,2489.583329,5130,54.40055152,5.080889874,7.156818007
734155.666,2489.666663,5130,54.50423714,6.692408512,7.584523151
734155.7493,2489.749997,5130,54.60792277,6.094328896,7.364625868
734155.8327,2489.833331,5130,54.71160839,5.645276292,7.601818853
734155.916,2489.916666,5130,54.81529402,6.739797647,7.624989283
734155.9993,2490,5130,54.91897964,7.029387647,7.528396054
734156.0827,2481.750095,5116.666821,54.90692343,5.795439213,7.625042868
734156.166,2473.500191,5103.333642,54.89486722,6.797367573,7.619223717
734156.2493,2465.250286,5090.000463,54.88281101,6.428733725,7.555608588
734156.3327,2457.000382,5076.667284,54.8707548,6.073860237,7.51493883
734156.416,2448.750477,5063.334105,54.85869859,5.104380703,7.601915307
734156.4993,2440.500573,5050.000926,54.84664238,6.625214325,7.6210134
734156.5827,2432.250668,5036.667747,54.83458617,6.020898695,7.62879424
734156.666,2424.000764,5023.334568,54.82252996,5.425390636,7.636531132
734156.7493,2415.750859,5010.001389,54.81047374,6.658328538,7.601840287
734156.8327,2407.500955,4996.66821,54.79841753,6.1978315,7.596065
734156.916,2399.25105,4983.335031,54.78636132,6.094264595,7.538151132
734156.9993,2391.001146,4970.001852,54.77430511,7.191441056,7.554729462
734157.0827,2409.414322,5002.495862,54.54044046,6.474429622,7.474676322
734157.166,2427.831202,5034.996238,54.30654499,6.094286029,7.439761413
734157.2493,2446.248082,5067.496615,54.07264952,4.770275949,7.440029339
734157.3327,2464.664961,5099.996991,53.83875406,6.50906688,7.474579868
734157.416,2483.081841,5132.497367,53.60485859,6.163579994,7.538215434
